,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
24,CI-7915,437749,Communicate,ssanz,2022-12-21 15:20:00,28/Dec/22 12:00 AM,,Porsche,Service Request (SR),437749,2022-12-21 15:20:00,2022-12-21 17:03:00,0 days 01:43:00.000000000,1.72
25,CI-7914,437720,Closed,aruizrobles,2022-12-21 13:51:00,28/Dec/22 12:00 AM,28/Dec/22 9:51 AM,ProcurX,Service Request (SR),437720,2022-12-21 13:51:00,2022-12-28 07:50:00,6 days 17:59:00.000000000,161.98
26,CI-7913,437707,Closed,ssanz,2022-12-21 13:21:00,28/Dec/22 12:00 AM,21/Dec/22 1:35 PM,Traton SE,Service Request (SR),437707,2022-12-21 13:21:00,2022-12-21 13:35:00,0 days 00:14:00.000000000,0.23
27,CI-7912,437698,Review,ssanz,2022-12-21 13:07:00,28/Dec/22 12:00 AM,,Continental,Service Request (SR),437698,2022-12-21 13:07:00,,,
28,CI-7911,437686,Import in Production,ssanz,2022-12-21 12:48:00,28/Dec/22 12:00 AM,,Traton SE,Service Request (SR),437686,2022-12-21 12:48:00,2022-12-30 09:03:00,8 days 20:15:00.000000000,212.25
29,CI-7910,437680,Import to Customer Test System,ssanz,2022-12-21 12:20:00,28/Dec/22 12:00 AM,,Enercon,Service Request (SR),437680,2022-12-21 12:20:00,,,
30,CI-7909,437653,Verify,ssanz,2022-12-21 11:46:00,28/Dec/22 12:00 AM,,Continental,Service Request (SR),437653,2022-12-21 11:46:00,,,
31,CI-7908,437587,Review,nsanchez,2022-12-21 09:47:00,02/Jan/23 12:00 AM,,Amadeus,Service Request (SR),437587,2022-12-21 09:47:00,,,
32,CI-7907,437559,Closed,yutaka,2022-12-21 08:21:00,23/Dec/22 12:00 AM,23/Dec/22 1:46 AM,Continental,Service Request (SR),437559,2022-12-21 08:21:00,2022-12-21 08:41:00,0 days 00:20:00.000000000,0.33
33,CI-7906,437493,Import in Production,yutaka,2022-12-21 04:10:00,23/Dec/22 12:00 AM,,Amadeus,Service Request (SR),437493,2022-12-21 04:10:00,,,
34,CI-7905,437491,Communicate,yutaka,2022-12-21 04:00:00,23/Dec/22 12:00 AM,,Amadeus,Service Request (SR),437491,2022-12-21 04:00:00,2022-12-28 11:41:00,7 days 07:41:00.000000000,175.68
35,CI-7904,437478,Review,ssanz,2022-12-20 17:24:00,26/Dec/22 12:00 AM,,Bentley,Service Request (SR),437478,2022-12-20 17:24:00,,,
36,CI-7903,437469,Closed,nsanchez,2022-12-20 16:48:00,27/Dec/22 12:00 AM,27/Dec/22 11:20 AM,Hugo Boss,Service Request (SR),437469,2022-12-20 16:48:00,2022-12-23 11:22:00,2 days 18:34:00.000000000,66.57
