Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Inward issue link (Created from Investigation Task),Inward issue link (Created from Investigation Task),Inward issue link (Created from Investigation Task),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ART Sync Notes),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (Affected Products),Custom field (Attached file with changes),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Justification),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Commitment Level),Custom field (Complexity),Custom field (Configure),Custom field (Customer/s),Custom field (DB Change included),Custom field (Date of First Response [CHART]),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix Priority),Custom field (General Information),Custom field (ITS Team Assigned),Custom field (Import),Custom field (Import),Custom field (Import),Custom field (Incident date/time),Custom field (Initial Request Date by Customer),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (MDs spend),Custom field (Memory),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parent Key),Custom field (Parent Link),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Priority Index),Custom field (Product Definition),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Notes),Custom field (Remaining Story Points),Custom field (Reported Date),Custom field (Request Type),Custom field (Required Skill Level),Custom field (Resources),Custom field (Restart Category),Custom field (Restart Type),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Story Points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Total Expense Volume p.a.),Custom field (Travel QA Responsible),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Researcher),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Procurx:set up regular tax in system/ITE-1832,CI-8657,473300,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,nsanchezruiz,nsanchezruiz,19/May/23 8:55 AM,24/May/23 12:31 PM,06/Jul/23 5:04 PM,24/May/23 12:31 PM,24/May/23 12:00 AM,0,,,,"for country australia in statutory we have regular tax  and  reduced:

!image-2023-05-19-08-41-03-562.png! this system has only reduced configured,
h2. +Target:+

as per ITE-1832 please set up vegas taxes correctly:

{{This user sits on Location Australia and has a Flight in Australia, which means the Flight is domestic}}
{{The default behavior of the system is that a domestic Flight is regarded with tax rate 'Regular'. This tax rate is not set in the customer configuration.}}
{{When you want different behavior for Flight taxes you need to put the default Flight Domestic / Abroad setting to the customer configuration and adapt it. }}

 

*note:* in EMs bali I set it up  as follows:

!image-2023-05-19-08-53-40-999.png!

{color:#FF0000}PLEASE {color}let me know if correct or if I must do something else in EMS 

thanks!!

(urgent as AU clients cannot submit receipts",,yutaka.yasumi,,,,,,,,,,,,,,,,,,,,"19/May/23 8:41 AM;nsanchezruiz;image-2023-05-19-08-41-03-562.png;https://jira.ifao.net/secure/attachment/197395/image-2023-05-19-08-41-03-562.png","19/May/23 8:53 AM;nsanchezruiz;image-2023-05-19-08-53-40-999.png;https://jira.ifao.net/secure/attachment/197394/image-2023-05-19-08-53-40-999.png","22/May/23 11:24 AM;nsanchezruiz;image-2023-05-22-11-24-26-935.png;https://jira.ifao.net/secure/attachment/198117/image-2023-05-22-11-24-26-935.png","23/May/23 4:09 PM;nsanchezruiz;image-2023-05-23-16-09-34-176.png;https://jira.ifao.net/secure/attachment/198378/image-2023-05-23-16-09-34-176.png","24/May/23 12:31 PM;nsanchezruiz;image-2023-05-24-12-31-36-535.png;https://jira.ifao.net/secure/attachment/198477/image-2023-05-24-12-31-36-535.png",,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,18/May/23 12:00 AM,,2-17483397943,,,Committed,,Configure,ProcurX,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:ynzqi",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system: 	procurx-globale
server: mega
location: australia",,3 - Medium Urgent,YES,,,,Codebusters-PI-7.3,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@9573314,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e31da98,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@19ac8940,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7e4b848c,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@4e34c7c2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5e413186,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@23da4587,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"22/May/23 11:25 AM;nsanchezruiz;bali

!image-2023-05-22-11-24-26-935.png!;;;","23/May/23 4:09 PM;nsanchezruiz;error.expense.baseReceipt.illegalCountryOrTax

!image-2023-05-23-16-09-34-176.png!;;;","24/May/23 12:31 PM;nsanchezruiz;ems correct set up:

!image-2023-05-24-12-31-36-535.png!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allianz - Error message dur to WARNING is too long. Maximum length is 250 characters,CI-8557,467471,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,ssanz,ssanz,24/Apr/23 3:31 PM,18/May/23 12:16 PM,06/Jul/23 5:04 PM,18/May/23 12:16 PM,28/Apr/23 12:00 AM,0,TOP_Customer,,,"Hello Team,

 

Allianz Australia complain because an user got the error message ""A validation error occurred during the last attempt to calculate this expense statement.error.expense.configuration.factory.EMSCacheError""

 

After checking in Kibana logs I found that this error message was getting because the warning field is too long. Maximum length is 250 characters.

[Kibana (ifao.net)|https://es.secure.ifao.net/s/ee/app/kibana#/doc/3afe1f90-e0e8-11ec-b748-a7b709a9fb27/ee-2023.17/doc?id=C3OIsocB0u5Rhg7lw6Qm&_g=()]

 

Please could you increase to the maximum of characters?

 

I checked all others locations and only the Australian locations is impacted by this Warning.

Location: AU-Allianz Technology SE Australia Branch, Sydney

 

Please do the increase characters for Warning fields in Bali, Staging and Prod:

 

BALI: AMA-Allianz-Test

Staging: AMA-Allianz-Test

Prod: ama-de-allianz

 

Thank you.

Best regards,

Sandra",,,,,,,,,,,0,94740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,24/Apr/23 12:00 AM,,2-17407013823,,,Committed,,Configure,Allianz,,,,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:yg",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: amadeus
Production system: ama-de-allianz
Location: AU-Allianz Technology SE Australia Branch, Sydney",,3 - Medium Urgent,YES,,,,Codebusters-PI-7.2,Codebusters-PI-7.3,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@9573314,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e31da98,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@19ac8940,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7e4b848c,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@4e34c7c2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5e413186,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@23da4587,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche: deactivation the SAML link,CI-8452,463886,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,kgostynska,kgostynska,07/Apr/23 3:59 PM,19/Apr/23 9:35 AM,06/Jul/23 5:04 PM,12/Apr/23 3:17 PM,11/Apr/23 12:00 AM,0,TOP_Customer,,,"Dear Team,

{{Customer reported that yesterday the new expense approval mail was changed in order to test the SAML Link to approve expense statements.}}

{{The link does not work and is now active in productive locations.}}

{{As per customer request, please deactivate the link for productive locations as soon as possible.}}

{{Thank you in advance!}}

{{BR }}

Karolina",,amatmati,,,,,,,,,,,,,CI-8416,CI-8418,EXM-773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,07/Apr/23 12:00 AM,,2-17360914343,,,Committed,,Configure,Porsche,,2023-04-11 18:09:18.537,,,,,Closed (created),,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@d7ea3b18,0,,,,,,Hello,,,,,,,,,,,,,"0|i20d3b:",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"TRAVEL :	vwgroup-porsche-holding-at
All locations",,3 - Medium Urgent,YES,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@9573314,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e31da98,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@19ac8940,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7e4b848c,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@4e34c7c2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5e413186,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@23da4587,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"07/Apr/23 6:22 PM;kgostynska;Could you please change ""type of request"" to Incident Request?

Thank you!;;;","11/Apr/23 6:09 PM;gmalarski;Changes deployed in https://jira.ifao.net/browse/CI-8418;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oebb:wrong debit amounts for private overnight stay,CI-8354,458717,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,nsanchezruiz,nsanchezruiz,22/Mar/23 11:13 AM,01/Jun/23 2:40 PM,06/Jul/23 5:04 PM,25/Apr/23 9:58 AM,27/Mar/23 12:00 AM,0,,,,"+current issue:+

debit posting records are currently wrong for overnight stay private accommodation AT law

affected ES: #10574653 Created 29.12.2022 18:20
user: 20071783( PFAFF-ROEDERS, TANJA)
legal basis: BV (Betriebsvereinbarung)
configuration: business trip
!image-2023-03-22-10-58-25-147.png!
 
!image-2023-03-22-10-53-14-405.png!
configuration perdiem:
oebb:
AT~Österreich#Austria~18.1~26.4
DE~Deutschland#Germany~24.2~30.7

statutory default :
AT~Österreich#Austria~15~26.4

+correct:+

!image-2023-03-22-10-54-39-854.png!

debit posting records should sum 158.90 eur

total overnight should be 66.50eur

!image-2023-03-22-11-07-45-162.png!

 
+target:+ * please correct issue
 * please advise reason
 * advise since when this may have happened as we need to fix all wrong statements

 
thank you!
 ",,,,,,,,,,,,,,,,,,ITE-1862,CI-8561,,,"22/Mar/23 11:08 AM;nsanchezruiz;10574653 Staffer WP 4 4   DB FRA.pdf;https://jira.ifao.net/secure/attachment/189523/10574653+Staffer+WP+4+4+++DB+FRA.pdf","04/Apr/23 11:25 AM;nsanchezruiz;378538 nuri ci8354.pdf;https://jira.ifao.net/secure/attachment/191208/378538+nuri+ci8354.pdf","22/Mar/23 10:53 AM;nsanchezruiz;image-2023-03-22-10-53-14-405.png;https://jira.ifao.net/secure/attachment/189527/image-2023-03-22-10-53-14-405.png","22/Mar/23 10:54 AM;nsanchezruiz;image-2023-03-22-10-54-39-854.png;https://jira.ifao.net/secure/attachment/189526/image-2023-03-22-10-54-39-854.png","22/Mar/23 10:58 AM;nsanchezruiz;image-2023-03-22-10-58-25-147.png;https://jira.ifao.net/secure/attachment/189525/image-2023-03-22-10-58-25-147.png","22/Mar/23 11:07 AM;nsanchezruiz;image-2023-03-22-11-07-45-162.png;https://jira.ifao.net/secure/attachment/189524/image-2023-03-22-11-07-45-162.png",,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,22/Mar/23 12:00 AM,,2-17306642003,,,Committed,,Configure,OBB,,2023-03-22 12:23:10.554,ddykiert,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@cf1cd5d9,0,,,,,,Hello,,,,,,,,,,,,,"0|i1zk6z:",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"syste:oebb
server:mega
locations:all",,3 - Medium Urgent,YES,,,,Codebusters-PI-7.1,Codebusters-PI-7.2,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@9573314,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e31da98,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@19ac8940,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7e4b848c,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@4e34c7c2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5e413186,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@23da4587,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"22/Mar/23 12:23 PM;msalajan;https://es.secure.ifao.net/s/ee/goto/89318ec925748e45912e9acdb62ec357;;;","04/Apr/23 10:52 AM;ddykiert;Hello [~nsanchez] , please verify on bali first.;;;","04/Apr/23 11:24 AM;nsanchezruiz;bali test attached 378547;;;","06/Apr/23 12:31 PM;ddykiert;implemented on staging;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiege:perdiem not calculated,CI-8238,452000,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Rejected,,nsanchezruiz,nsanchezruiz,28/Feb/23 1:28 PM,12/Jun/23 2:50 PM,06/Jul/23 5:04 PM,12/Jun/23 2:50 PM,31/Mar/23 12:00 AM,0,,,,"* perdiem are not being calculated :
#12808843 Created 27.02.2023 13:49
 * location:Fiege Logistik Stiftung & Co. KG Rangsdorf
log: [https://es.secure.ifao.net/s/ee/goto/d0866add33441454574c08222f337f9f]
!image-2023-02-28-13-24-03-239.png! 
!image-2023-02-28-13-20-59-853.png!
 * in bali they are calculated correctly:
#372080
log:[http://es.sofia.ifao.net/s/ee/goto/f4a37dc74a06a52826c71f93d45df720]
!image-2023-02-28-13-23-44-452.png! 
!image-2023-02-28-13-21-47-298.png!

I think something wrong with 3month rule configuartion
please fix as in bali so perdiem can be returned correc tly

thank you",,,,,,,,,,,0,60,,,,,,,,,,"28/Feb/23 1:29 PM;nsanchezruiz;12808843 Test BK.pdf;https://jira.ifao.net/secure/attachment/185562/12808843+Test+BK.pdf","28/Feb/23 1:29 PM;nsanchezruiz;372080 nuri perdiem bali.pdf;https://jira.ifao.net/secure/attachment/185561/372080+nuri+perdiem+bali.pdf","28/Feb/23 1:21 PM;nsanchezruiz;image-2023-02-28-13-20-59-853.png;https://jira.ifao.net/secure/attachment/185560/image-2023-02-28-13-20-59-853.png","28/Feb/23 1:21 PM;nsanchezruiz;image-2023-02-28-13-21-47-298.png;https://jira.ifao.net/secure/attachment/185559/image-2023-02-28-13-21-47-298.png","28/Feb/23 1:23 PM;nsanchezruiz;image-2023-02-28-13-23-30-909.png;https://jira.ifao.net/secure/attachment/185558/image-2023-02-28-13-23-30-909.png","28/Feb/23 1:23 PM;nsanchezruiz;image-2023-02-28-13-23-44-452.png;https://jira.ifao.net/secure/attachment/185557/image-2023-02-28-13-23-44-452.png","28/Feb/23 1:24 PM;nsanchezruiz;image-2023-02-28-13-24-03-239.png;https://jira.ifao.net/secure/attachment/185556/image-2023-02-28-13-24-03-239.png","28/Feb/23 1:33 PM;nsanchezruiz;image-2023-02-28-13-33-19-228.png;https://jira.ifao.net/secure/attachment/185566/image-2023-02-28-13-33-19-228.png",,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,28/Feb/23 12:00 AM,,2-17233524153,,,Committed,,Configure,Fiege,,2023-03-14 13:59:52.044,mdevries,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,,"0|i20pql:y92",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system:	lcc-lueckertz-fiege
server: world
locations:DE",,3 - Medium Urgent,YES,,,,Codebusters-PI-6.4,Codebusters-PI-7.1,Codebusters-PI-7.2,Codebusters-PI-7.3,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@9573314,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e31da98,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@19ac8940,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7e4b848c,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@4e34c7c2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5e413186,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@23da4587,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"28/Feb/23 1:33 PM;nsanchezruiz;note: 3 month rule is not enabled

!image-2023-02-28-13-33-19-228.png|width=721,height=360!;;;","14/Mar/23 1:59 PM;mdevries;Hello [~nsanchez]! I checked the configuration and found out that the reason for no per diems is the special overnight case. When the customer ticked the checkbox ""No overnight stay"", but have some absences, the special overnight case get activated and that set the per diems to 0 EUR. Or when the customer choose the employee group ""Berufskraftfahrer"" (professional driver), the special overnight case will be activated automatically and set the per diems to 0 EUR. Is that maybe a correct requirement for the system or should be changed something? For Bali we have the same behavior for this setting!;;;","05/Jun/23 9:30 AM;mstaszek;Hello [~nsanchez] [~devries] :)

What is the status of this CI?;;;","05/Jun/23 9:34 AM;nsanchezruiz;we can close it thanks!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porsche:fix the script for enterteinment receipt/ITE-1592,CI-8137,447073,Expense Delivery,Closed,CI,codebusters,software,mrohkamm,,,Done,,nsanchezruiz,nsanchezruiz,08/Feb/23 1:39 PM,07/Mar/23 9:12 AM,06/Jul/23 5:04 PM,07/Mar/23 9:12 AM,14/Feb/23 12:00 AM,0,CICouncil_Candidate,TOP_Customer,,"please as per ITE-1592

The custom Java Script in the Engine is not taking the exchange rate into account. So the script does not compare the EUR amount, but the original amount with 60 ... (see validation.Entertainment.4)
{code:java}
    log.debug(""FDF 'Event number PVGM' should be mandatory for internal participants with an amount above 60 EUR"");
    
    if (element.isInternal() || (element.isMixed() && isEntertainmentInternal(element))) {
        if (isEntertainmentAmountLimitExceeded(element) && !element.getParentReceipt().getStringLinkValue(""expense.entertainment.eventNumberPvgm"")) {
            actionMarker.setActionSuccessfull(false);
            actor.registerError(""error.expense.entertainment.amountLimit.exceeded"");
            actor.registerErrorOn(element.getParentReceipt(), ""error.expense.entertainment.amountLimit.exceeded"");
        }
    }
    
    // According to the agreement with the customer, an entertainment should be ""external"" if the percentage of the third-party participants are > 10%.
    function isEntertainmentInternal(entertainment) {
        return (entertainment.getExternal().size() * 100 / (entertainment.getInternal().size() + entertainment.getExternal().size())) <= 10;
    }
    
    // According to the agreement with the customer, the account number changes for internal entertainments if the amount exceeds 60 EUR.
    function isEntertainmentAmountLimitExceeded(entertainment) {
        return (entertainment.getParentReceipt().getPrice().getAmount() / (entertainment.getInternal().size() + entertainment.getExternal().size())) > 60.0;
    }
    ]]> {code}
It is translated - if receipt amount / internal + external participants >60 then ...

!_SA_Code in question.png|thumbnail!

So in our case if (1348 / (3 + 0 )) >60 ...  and as 1348/3 is 449.33 it actually IS larger than 60 

+solution:+

Ask Codebusters to fix the script - it must take into account the exchange rate, that is stored in the price object ( (entertainment.getParentReceipt().getPrice().getAmount() *{color:#de350b}* rate{color}* )/ (entertainment.getInternal().size() + entertainment.getExternal().size())) > 60.0 )",,segener,,,,,,,,,,,,,,,,,,ITE-1592,,"14/Feb/23 11:29 AM;nsanchezruiz;image-2023-02-14-11-29-25-860.png;https://jira.ifao.net/secure/attachment/183588/image-2023-02-14-11-29-25-860.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,03/Feb/23 12:00 AM,,2-17158894463,,,Committed,,Configure,Porsche,,2023-02-14 11:18:47.133,,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@27b4af40,0,,,,,,Hello,,,,,,,,,,,,,"0|i1x6b2:yq",,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system:porsche
server:travel
location: dE - Dr. Ing. h.c. F. Porsche AG (PACE)",,3 - Medium Urgent,YES,,,,Codebusters-PI-6.3,Codebusters-PI-6.4,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@9573314,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e31da98,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@19ac8940,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7e4b848c,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@4e34c7c2,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@5e413186,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@23da4587,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"14/Feb/23 11:18 AM;jtkacz;Hi [~nsanchez] ,

I found this issue in many location. Should I fix it only in location DE - Dr. Ing. h.c. F. Porsche AG (PACE) or everywhere?;;;","14/Feb/23 11:26 AM;nsanchezruiz;in all in that case, thanks! [~jtkacz] ;;;","14/Feb/23 11:29 AM;nsanchezruiz;bali

!image-2023-02-14-11-29-25-860.png!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
