Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8365,459516,Closed,nsanchez,2023-03-24 09:30:00,31/Mar/23 12:00 AM,2023-04-05 08:41:00,Customer not yet listed,Service Request (SR),459516.0,16005.000000000002,16229.000000000002,1002.0000000000001
CI-8364,459501,Closed,nsanchez,2023-03-24 08:41:00,31/Mar/23 12:00 AM,2023-04-04 09:24:00,Customer not yet listed,Service Request (SR),459501.0,10479.0,10841.0,5042.0
CI-8360,459333,Closed,nsanchez,2023-03-23 14:52:00,29/Mar/23 12:00 AM,2023-04-05 09:39:00,Customer not yet listed,Incident Request (IR),459333.0,18407.0,18407.0,0.0
CI-8359,459293,Closed,ssanz,2023-03-23 13:59:00,30/Mar/23 12:00 AM,2023-04-01 16:22:00,Allianz,Service Request (SR),459293.0,8777.0,8830.0,4273.000000000001
CI-8356,458888,Closed,aruizrobles,2023-03-22 14:23:00,23/Mar/23 12:00 AM,2023-03-29 13:54:00,Conovum,Service Request (SR),458888.0,1494.0,4188.000000000001,5863.0
CI-8352,458587,Closed,hilbich,2023-03-22 09:12:00,29/Mar/23 12:00 AM,2023-03-29 14:18:00,Hugo Boss,Incident Request (IR),458587.0,10372.0,10372.0,14.0
CI-8351,458581,Closed,hilbich,2023-03-22 09:05:00,29/Mar/23 12:00 AM,2023-04-04 16:12:00,LKW Walter,Incident Request (IR),458581.0,19127.0,19127.0,20.0
CI-8349,458448,Closed,yutaka,2023-03-22 02:59:00,22/Mar/23 12:00 AM,2023-04-03 00:41:00,Endress Hauser,Service Request (SR),458448.0,0.0,18.0,17124.000000000004
CI-8346,458273,Closed,skarja,2023-03-21 13:50:00,28/Mar/23 12:00 AM,2023-04-07 02:04:00,Porsche,Service Request (SR),458273.0,14534.0,21325.0,2449.0
CI-8345,458258,Closed,nsanchez,2023-03-21 13:28:00,27/Mar/23 12:00 AM,2023-04-04 13:10:00,Audi,Service Request (SR),458258.0,14426.0,16025.000000000002,4117.000000000001
CI-8344,458212,Closed,nsanchez,2023-03-21 12:57:00,23/Mar/23 12:00 AM,2023-04-03 10:29:00,Allianz,Service Request (SR),458212.0,10136.0,17026.000000000004,1546.0
CI-8342,458091,Closed,mwituszynski,2023-03-21 10:02:00,29/Mar/23 12:00 AM,2023-03-23 13:55:00,Burda,Service Request (SR),458091.0,3113.0,3113.0,0.0
CI-8340,457347,Closed,hilbich,2023-03-20 09:01:00,27/Mar/23 12:00 AM,2023-04-04 13:30:00,Biotest,Incident Request (IR),457347.0,21792.0,21792.0,77.0
CI-8327,456748,Closed,aruizrobles,2023-03-16 13:55:00,23/Mar/23 12:00 AM,2023-03-29 13:54:00,Conovum,Service Request (SR),456748.0,1244.0,17597.0,1122.0
CI-8325,456733,Closed,mmaciejczyk,2023-03-16 13:20:00,23/Mar/23 12:00 AM,2023-03-16 15:42:00,CMS Hasche Sigle,Service Request (SR),456733.0,139.0,139.0,3.0
CI-8324,456726,Closed,hilbich,2023-03-16 13:04:00,23/Mar/23 12:00 AM,2023-04-03 11:19:00,Holtzbrink,Service Request (SR),456726.0,21410.0,25787.0,28.0
CI-8322,456676,Closed,yutaka,2023-03-16 11:59:00,23/Mar/23 12:00 AM,2023-04-03 00:42:00,Hugo Boss,Service Request (SR),456676.0,9.0,7942.000000000001,17301.000000000004
CI-8321,456627,Closed,yutaka,2023-03-16 11:21:00,20/Mar/23 12:00 AM,2023-03-29 16:29:00,Lufthansa City Center,Incident Request (IR),456627.0,10343.0,10343.0,8685.000000000002
CI-8317,456508,Closed,yutaka,2023-03-15 23:46:00,22/Mar/23 12:00 AM,2023-03-22 00:25:00,CEPSA,Service Request (SR),456508.0,0.0,821.0,7858.000000000001
CI-8316,456446,Closed,ssanz,2023-03-15 16:46:00,22/Mar/23 12:00 AM,2023-04-14 12:32:00,Allianz,Incident Request (IR),456446.0,27422.0,28684.0,14262.0
CI-8315,456393,Closed,bonnavion,2023-03-15 15:03:00,22/Mar/23 12:00 AM,2023-04-13 14:22:00,DERPART,Service Request (SR),456393.0,21685.0,37612.0,4107.000000000001
CI-8314,456336,Closed,nsanchez,2023-03-15 12:34:00,16/Mar/23 12:00 AM,2023-03-22 11:16:00,OBB,Incident Request (IR),456336.0,10002.0,10002.0,0.0
CI-8312,456181,Closed,aruizrobles,2023-03-15 09:51:00,22/Mar/23 12:00 AM,2023-03-29 15:51:00,Numiga,Service Request (SR),456181.0,1775.0,16625.000000000004,3917.0000000000005
CI-8311,456141,Closed,shimizu,2023-03-15 09:23:00,22/Mar/23 12:00 AM,2023-03-15 09:35:00,Product Management,Service Request (SR),456141.0,11.0,11.0,0.0
