Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-7921,437843,Closed,yutaka,2022-12-22 10:09:00,26/Dec/22 12:00 AM,2022-12-30 10:21:00,Lufthansa City Center,Incident Request (IR),437843.0,8668.000000000002,8698.000000000002,2834.0
CI-7901,437144,Closed,ssanz,2022-12-19 17:10:00,26/Dec/22 12:00 AM,2023-01-12 14:01:00,Porsche,Incident Request (IR),437144.0,21479.0,21531.0,12840.0
CI-7887,436609,Closed,nsanchez,2022-12-16 14:40:00,21/Dec/22 12:00 AM,2023-01-02 08:59:00,Osram,Incident Request (IR),436609.0,6966.0,23995.0,144.0
CI-7885,436508,Closed,nsanchez,2022-12-16 13:35:00,22/Dec/22 12:00 AM,2022-12-21 13:51:00,OBB,Incident Request (IR),436508.0,5506.0,6955.0,261.00000000000006
CI-7865,435564,Closed,nsanchez,2022-12-14 11:30:00,20/Dec/22 12:00 AM,2022-12-21 09:17:00,Bentley,Incident Request (IR),435564.0,6977.0,9917.0,30.0
CI-7861,435312,Closed,ssanz,2022-12-13 15:15:00,20/Dec/22 12:00 AM,2023-03-01 15:56:00,Audi,Incident Request (IR),435312.0,8330.000000000002,31114.0,81247.0
CI-7836,433449,Closed,yutaka,2022-12-07 08:47:00,08/Dec/22 12:00 AM,2022-12-16 10:51:00,Endress Hauser,Incident Request (IR),433449.0,3415.0,10993.0,2091.0000000000005
CI-7836,433449,Closed,yutaka,2022-12-07 08:47:00,08/Dec/22 12:00 AM,2022-12-16 10:51:00,Endress Hauser,Incident Request (IR),433449.0,7390.0,10993.0,2091.0000000000005
CI-7816,432641,Closed,yutaka,2022-12-05 10:09:00,09/Dec/22 12:00 AM,2023-03-03 14:03:00,CEPSA,Incident Request (IR),432641.0,15807.000000000002,122104.0,4850.0
CI-7808,432567,Closed,yutaka,2022-12-05 08:05:00,09/Dec/22 12:00 AM,2023-01-04 02:16:00,Amadeus,Incident Request (IR),432567.0,14765.0,20215.0,22636.0
CI-7793,431947,Closed,nsanchez,2022-12-01 11:55:00,02/Dec/22 12:00 AM,2022-12-02 10:50:00,Endress Hauser,Incident Request (IR),431947.0,1301.0,1363.0,12.0
CI-7792,431942,Closed,ssanz,2022-12-01 11:33:00,08/Dec/22 12:00 AM,2022-12-01 14:33:00,Allianz,Incident Request (IR),431942.0,160.0,161.0,19.0
CI-7787,431734,Closed,ssanz,2022-11-30 16:24:00,06/Dec/22 12:00 AM,2023-02-10 09:35:00,Allianz,Incident Request (IR),431734.0,26953.0,26955.0,76316.0
CI-7786,431699,Closed,nsanchez,2022-11-30 15:21:00,08/Dec/22 12:00 AM,2022-12-16 12:49:00,Amadeus,Incident Request (IR),431699.0,22825.0,22825.0,63.00000000000001
CI-7779,431572,Closed,nsanchez,2022-11-30 10:24:00,08/Dec/22 12:00 AM,2022-12-15 16:47:00,Porsche,Incident Request (IR),431572.0,21464.0,21776.0,207.0
CI-7759,430662,Closed,nsanchez,2022-11-24 11:42:00,29/Nov/22 12:00 AM,2022-11-24 12:03:00,Allianz,Incident Request (IR),430662.0,14.0,21.0,0.0
CI-7745,429871,Closed,yutaka,2022-11-22 09:11:00,25/Nov/22 12:00 AM,2023-01-04 02:18:00,Continental,Incident Request (IR),429871.0,13462.0,20597.0,40910.0
CI-7717,428927,Closed,ssanz,2022-11-17 17:51:00,24/Nov/22 12:00 AM,2023-01-02 10:02:00,Porsche,Incident Request (IR),428927.0,63.00000000000001,40744.0,25027.0
CI-7717,428927,Closed,ssanz,2022-11-17 17:51:00,24/Nov/22 12:00 AM,2023-01-02 10:02:00,Porsche,Incident Request (IR),428927.0,38695.0,40744.0,25027.0
CI-7706,428491,Closed,ssanz,2022-11-16 11:36:00,23/Nov/22 12:00 AM,2023-02-17 08:25:00,Allianz,Incident Request (IR),428491.0,0.0,99585.0,34144.00000000001
CI-7701,428369,Closed,aruizrobles,2022-11-15 19:56:00,22/Nov/22 12:00 AM,2022-11-17 09:41:00,Numiga,Incident Request (IR),428369.0,2240.0,2240.0,25.0
CI-7690,427837,Closed,nsanchez,2022-11-14 13:32:00,21/Nov/22 12:00 AM,2022-11-16 08:28:00,HRS,Incident Request (IR),427837.0,1642.0,1642.0,934.0
CI-7674,427373,Closed,ssanz,2022-11-10 16:11:00,17/Nov/22 12:00 AM,2023-02-17 08:24:00,Allianz,Incident Request (IR),427373.0,11251.0,98182.0,43911.0
CI-7661,426322,Closed,nsanchez,2022-11-07 17:47:00,08/Nov/22 12:00 AM,2022-11-10 15:33:00,Bentley,Incident Request (IR),426322.0,3955.0000000000005,3956.0000000000005,230.0
CI-7654,425977,Closed,yutaka,2022-11-07 03:22:00,11/Nov/22 12:00 AM,2022-11-29 03:52:00,Grupo Red Electrica,Incident Request (IR),425977.0,3684.0,5090.0,26620.0
CI-7635,425476,Closed,nsanchez,2022-11-03 15:44:00,11/Nov/22 12:00 AM,2022-11-15 13:05:00,Bentley,Incident Request (IR),425476.0,17121.000000000004,17121.000000000004,2.0000000000000004
CI-7633,425455,Closed,nsanchez,2022-11-03 14:44:00,03/Nov/22 12:00 AM,2022-11-04 09:51:00,VW,Incident Request (IR),425455.0,1024.0000000000002,1024.0000000000002,123.00000000000001
CI-7626,424875,Closed,yutaka,2022-11-02 05:59:00,07/Nov/22 12:00 AM,2022-11-08 06:15:00,CMS Hasche Sigle,Incident Request (IR),424875.0,1807.0,7065.0,1591.0
CI-7604,423551,Closed,nsanchez,2022-10-26 13:11:00,26/Oct/22 12:00 AM,2023-02-22 16:04:00,Rewe Group,Incident Request (IR),423551.0,70.0,171473.0,60.0
CI-7599,423370,Closed,yutaka,2022-10-26 05:36:00,02/Nov/22 12:00 AM,2022-11-21 09:52:00,Apleona,Incident Request (IR),423370.0,237.0,10495.0,27201.0
CI-7597,423336,Closed,ssanz,2022-10-25 16:47:00,01/Nov/22 12:00 AM,2023-02-07 09:04:00,DER,Incident Request (IR),423336.0,12579.0,67954.00000000001,82783.0
CI-7589,422945,Closed,ssanz,2022-10-24 13:53:00,31/Oct/22 12:00 AM,2022-10-26 12:38:00,Traton SE,Incident Request (IR),422945.0,1110.0,1632.0,1173.0
CI-7587,422432,Closed,yutaka,2022-10-20 14:47:00,24/Oct/22 12:00 AM,2022-11-08 05:58:00,VW,Incident Request (IR),422432.0,5695.0,7165.0,19666.0
CI-7580,422128,Closed,nsanchez,2022-10-19 12:29:00,19/Oct/22 12:00 AM,2022-10-24 08:35:00,Grupo Red Electrica,Incident Request (IR),422128.0,1604.0,2975.0,3991.0000000000005
CI-7559,421224,Closed,yutaka,2022-10-14 07:53:00,17/Oct/22 12:00 AM,2022-11-07 06:13:00,Grupo Red Electrica,Incident Request (IR),421224.0,81.0,934.0,33526.00000000001
CI-7556,421213,Closed,yutaka,2022-10-14 05:37:00,21/Oct/22 12:00 AM,2022-11-08 05:59:00,Endress Hauser,Incident Request (IR),421213.0,14943.0,17099.000000000004,18923.0
CI-7534,420348,Closed,ssanz,2022-10-11 11:13:00,18/Oct/22 12:00 AM,2022-10-13 11:52:00,Allianz,Incident Request (IR),420348.0,1369.0,1668.0,1251.0
CI-7491,418563,Closed,ssanz,2022-10-04 12:20:00,11/Oct/22 12:00 AM,2022-10-13 11:47:00,Hugo Boss,Incident Request (IR),418563.0,8882.0,10097.0,2830.0
CI-7474,417868,Closed,ssanz,2022-09-29 13:15:00,06/Oct/22 12:00 AM,2022-10-19 17:45:00,Numiga,Incident Request (IR),417868.0,1429.0,7099.0,21971.0
